,Unnamed: 0,0,1,2,3,4
48,48,91.9,17038,14,266,
49,49,86.1,17404,12,275,
50,50,80.6,17774,10,279,特異点
51,51,75.4,18150,7,275,
52,52,70.6,18529,6,261,
53,53,66.3,18895,4,248,
54,54,62.2,19273,3,230,
55,55,58.3,19658,2,228,特異点
56,56,54.7,20041,3,108,特異点
57,57,51.5,20404,3,110,
58,58,48.4,20784,3,98,
59,59,45.5,21168,4,103,特異点
60,60,42.7,21566,3,90,
61,61,40.2,21944,3,78,特異点
62,62,37.7,22349,4,94,
63,63,35.4,22747,4,110,特異点
64,64,33.3,23134,5,92,特異点
65,65,31.2,23548,7,96,
66,66,29.3,23947,8,89,
67,67,27.4,24373,9,84,特異点
68,68,25.7,24781,9,104,
69,69,24.0,25218,8,112,特異点
70,70,22.5,25639,9,116,
71,71,21.0,26089,11,110,
72,72,19.7,26506,13,108,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1013.0,7,3.8,60,特異点
2,2,993.0,181,5,72,
3,3,954.9,519,5,77,特異点
4,4,918.5,853,3,62,
5,5,882.5,1193,2,28,特異点
6,6,847.5,1534,4,15,
7,7,814.0,1873,3,2,特異点
8,8,781.4,2216,8,327,
9,9,749.2,2565,10,299,特異点
10,10,717.7,2920,11,294,
11,11,687.5,3274,12,293,
12,12,658.8,3622,12,277,特異点
13,13,630.9,3972,11,278,
14,14,603.2,4332,10,275,
15,15,577.4,4681,14,277,
16,16,565.5,4847,15,280,
17,17,542.0,5185,18,282,
18,18,519.3,5524,19,281,
19,19,497.0,5869,18,279,
20,20,474.4,6233,17,278,
21,21,452.5,6599,19,276,
22,22,431.0,6973,21,276,
23,23,410.5,7344,22,278,
24,24,391.0,7711,23,275,
25,25,371.2,8100,23,273,
26,26,352.0,8492,23,272,
27,27,332.3,8912,24,271,
28,28,313.0,9343,24,270,
29,29,294.8,9769,25,271,
30,30,277.4,10192,25,267,
31,31,261.9,10591,26,265,
32,32,247.4,10978,27,266,
33,33,234.5,11339,28,266,
34,34,222.5,11682,29,264,
35,35,211.3,12019,28,261,
36,36,200.8,12351,29,262,
37,37,190.7,12688,29,262,
38,38,181.0,13019,30,263,特異点
39,39,171.6,13350,29,267,
40,40,162.5,13685,29,269,
41,41,153.7,14026,27,265,
42,42,144.3,14413,26,264,
43,43,136.0,14764,26,266,
44,44,128.2,15113,26,268,
45,45,120.3,15483,25,272,
46,46,112.4,15875,24,274,
47,47,105.1,16258,22,275,特異点
48,48,98.2,16644,19,274,
49,49,91.8,17024,18,269,
50,50,85.7,17412,17,264,
51,51,80.0,17798,14,266,
52,52,74.7,18190,12,267,
53,53,70.0,18566,9,269,特異点
54,54,65.6,18944,7,277,
55,55,61.7,19304,6,276,
56,56,57.9,19683,3,284,特異点
57,57,54.4,20060,1,306,特異点
58,58,51.2,20427,2,73,特異点
59,59,48.2,20793,4,119,特異点
60,60,45.4,21162,5,118,特異点
61,61,42.7,21544,5,94,
62,62,40.1,21954,5,76,特異点
63,63,37.7,22330,7,78,
64,64,35.5,22712,6,89,特異点
65,65,33.4,23100,6,114,
66,66,31.3,23513,7,132,特異点
67,67,29.4,23912,6,130,
68,68,27.6,24316,8,125,
69,69,25.9,24723,9,129,
70,70,24.2,25162,9,134,特異点
71,71,22.7,25582,8,142,
72,72,21.3,26006,6,162,
73,73,19.9,26462,5,186,特異点
74,74,18.6,26915,3,171,
75,75,17.3,27401,3,159,
76,76,16.1,27883,4,133,
77,77,15.1,28314,5,112,
78,78,14.0,28822,5,109,
79,79,13.1,29272,4,89,特異点
80,80,12.2,29754,5,90,
81,81,11.4,30214,6,107,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1014.5,7,4.6,80,特異点
2,2,993.3,190,5,86,
3,3,953.1,546,6,84,特異点
4,4,914.4,899,2,138,特異点
5,5,876.0,1265,2,82,特異点
6,6,839.2,1628,3,350,特異点
7,7,803.8,1992,5,322,特異点
8,8,770.0,2351,5,319,
9,9,737.2,2712,2,301,特異点
10,10,704.9,3081,1,360,特異点
11,11,673.5,3454,3,312,
12,12,643.1,3832,5,279,特異点
13,13,613.9,4209,5,267,特異点
14,14,586.0,4585,9,292,
15,15,559.1,4961,13,299,特異点
16,16,545.6,5156,13,296,
17,17,519.8,5538,15,293,
18,18,495.1,5919,16,293,
19,19,471.2,6305,17,289,
20,20,448.5,6685,18,282,
21,21,426.5,7070,18,280,
22,22,405.2,7457,20,280,
23,23,384.6,7846,22,280,
24,24,364.4,8247,24,276,
25,25,344.8,8652,25,270,
26,26,326.0,9057,25,268,特異点
27,27,308.0,9463,27,271,
28,28,291.0,9864,28,275,
29,29,274.8,10263,28,273,
30,30,259.9,10649,29,269,
31,31,246.0,11019,29,265,
32,32,233.3,11373,29,264,
33,33,221.4,11722,30,266,
34,34,210.0,12072,31,267,
35,35,199.2,12411,31,267,
36,36,188.8,12756,31,266,
37,37,178.9,13096,32,266,極大風速面
38,38,169.3,13439,32,268,
39,39,160.0,13789,31,272,
40,40,151.1,14140,30,273,
41,41,142.2,14506,30,272,
42,42,133.3,14892,27,269,
43,43,125.4,15253,25,268,
44,44,117.7,15620,22,267,
45,45,110.5,15984,23,269,
46,46,103.7,16342,21,273,特異点
47,47,96.6,16742,20,280,
48,48,89.7,17164,17,288,
49,49,84.2,17525,15,298,特異点
50,50,78.9,17896,13,301,
51,51,73.5,18299,10,300,
52,52,68.4,18715,10,300,
53,53,64.1,19096,7,297,特異点
54,54,60.1,19478,4,303,
55,55,56.5,19850,2,313,特異点
56,56,53.3,20203,1,75,特異点
57,57,50.0,20592,3,66,特異点
58,58,47.0,20973,4,85,特異点
59,59,44.3,21339,4,85,
60,60,41.7,21717,5,90,
61,61,39.2,22107,6,92,
62,62,36.9,22489,6,85,
63,63,34.7,22884,6,88,
64,64,32.6,23284,5,83,
65,65,30.6,23689,3,75,
66,66,28.7,24099,4,78,特異点
67,67,27.0,24491,6,83,
68,68,25.2,24938,6,99,
69,69,23.6,25366,7,109,
70,70,22.1,25797,5,124,特異点
71,71,20.6,26259,3,126,特異点
72,72,19.2,26722,3,97,特異点
73,73,18.0,27149,3,117,
74,74,16.8,27607,4,150,
75,75,15.6,28105,4,183,
76,76,14.6,28554,5,211,
77,77,13.6,29038,4,229,
78,78,12.7,29504,2,266,特異点
79,79,11.9,29947,1,8,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1014.5,7,2.7,30,特異点
2,2,994.7,178,4,67,特異点
3,3,956.0,517,4,76,
4,4,918.8,857,3,65,特異点
5,5,882.7,1199,2,33,特異点
6,6,847.3,1545,5,336,特異点
7,7,812.5,1900,4,314,特異点
8,8,778.5,2260,5,311,
9,9,745.7,2619,6,306,
10,10,714.2,2973,6,296,
11,11,684.1,3327,5,289,特異点
12,12,654.8,3684,5,262,特異点
13,13,626.2,4047,7,272,
14,14,599.0,4407,8,269,
15,15,572.9,4765,10,277,
16,16,560.0,4947,12,276,
17,17,535.1,5307,15,270,
18,18,510.8,5674,18,267,
19,19,487.3,6042,19,271,
20,20,464.4,6415,21,280,
21,21,442.3,6787,22,285,特異点
22,22,421.2,7159,24,280,
23,23,400.4,7540,25,272,
24,24,380.1,7929,25,270,
25,25,360.3,8324,27,269,特異点
26,26,340.8,8733,28,272,
27,27,322.0,9143,30,277,
28,28,303.8,9559,32,283,
29,29,286.4,9973,32,284,特異点
30,30,269.7,10391,33,279,
31,31,254.0,10800,35,276,
32,32,239.3,11195,34,277,
33,33,225.6,11585,33,275,
34,34,212.7,11975,34,269,
35,35,200.5,12367,33,266,
36,36,189.1,12736,33,261,
37,37,178.2,13110,33,259,特異点
38,38,167.8,13485,35,259,
39,39,157.8,13861,35,261,
40,40,148.3,14239,36,265,極大風速面
41,41,138.9,14631,33,267,
42,42,129.6,15038,30,270,
43,43,121.2,15432,28,275,
44,44,113.2,15828,25,279,
45,45,105.9,16212,21,283,特異点
46,46,98.8,16610,17,283,
47,47,92.1,17014,13,282,
48,48,85.9,17413,9,283,特異点
49,49,80.2,17807,6,264,
50,50,75.0,18192,5,243,
51,51,70.2,18576,4,233,特異点
52,52,65.6,18970,4,245,特異点
53,53,61.3,19365,4,287,
54,54,57.4,19755,4,328,
55,55,53.9,20134,4,359,
56,56,50.6,20523,5,41,特異点
57,57,47.5,20915,6,56,
58,58,44.5,21320,7,61,
59,59,41.9,21694,7,62,
60,60,39.3,22092,7,72,特異点
61,61,36.9,22486,8,92,
62,62,34.6,22891,8,105,
63,63,32.4,23307,7,117,特異点
64,64,30.4,23712,5,115,
65,65,28.4,24149,3,125,
66,66,26.6,24570,2,125,特異点
67,67,24.9,24999,4,138,
68,68,23.3,25434,6,161,特異点
69,69,21.7,25902,7,167,
70,70,20.2,26373,7,184,
71,71,18.9,26811,7,196,
72,72,17.7,27245,7,202,
73,73,16.4,27752,6,212,特異点
74,74,15.3,28215,4,207,特異点
75,75,14.3,28669,2,153,
76,76,13.3,29157,4,102,特異点
77,77,12.4,29629,6,93,
78,78,11.5,30136,8,88,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1011.3,7,4.3,60,特異点
2,2,991.6,180,7,63,
3,3,952.6,529,6,70,特異点
4,4,915.2,875,1,133,特異点
5,5,880.1,1211,3,224,特異点
6,6,846.9,1540,5,250,特異点
7,7,815.0,1866,5,240,特異点
8,8,784.0,2192,4,272,特異点
9,9,754.6,2513,4,280,
10,10,726.3,2833,8,281,特異点
11,11,697.7,3168,10,277,
12,12,669.9,3505,12,277,
13,13,643.4,3836,12,270,
14,14,618.6,4155,15,261,特異点
15,15,594.7,4473,16,266,
16,16,583.2,4630,17,267,
17,17,559.2,4966,17,270,
18,18,536.5,5294,17,281,
19,19,513.7,5635,17,289,特異点
20,20,492.0,5972,15,290,
21,21,470.7,6317,14,292,
22,22,450.8,6650,15,293,
23,23,431.1,6993,15,291,
24,24,412.0,7338,15,290,
25,25,393.9,7677,16,293,
26,26,375.4,8036,16,296,特異点
27,27,358.0,8386,18,294,
28,28,340.4,8757,21,295,
29,29,323.8,9118,22,298,
30,30,308.4,9468,22,298,
31,31,293.3,9824,23,296,
32,32,279.7,10158,24,299,
33,33,265.9,10510,25,304,
34,34,252.8,10859,27,305,
35,35,240.0,11206,30,304,
36,36,227.8,11552,30,303,
37,37,216.1,11902,31,301,極大風速面
38,38,205.0,12251,29,301,
39,39,194.8,12590,28,302,
40,40,185.2,12914,29,303,
41,41,176.0,13239,28,303,
42,42,166.4,13590,28,304,
43,43,157.9,13912,28,304,
44,44,149.5,14248,29,304,
45,45,140.9,14613,28,303,
46,46,132.6,14982,27,302,特異点
47,47,124.7,15346,26,300,
48,48,117.2,15708,23,296,
49,49,109.7,16088,22,290,
50,50,102.9,16456,20,287,特異点
51,51,96.0,16850,17,286,
52,52,89.3,17259,16,289,
53,53,83.0,17673,15,289,
54,54,77.7,18045,12,294,
55,55,72.6,18429,9,296,特異点
56,56,67.7,18832,5,273,特異点
57,57,63.2,19234,2,292,特異点
58,58,59.4,19601,1,103,特異点
59,59,55.8,19978,1,194,特異点
60,60,52.5,20350,2,44,特異点
61,61,49.4,20725,3,69,特異点
62,62,46.5,21100,2,60,
63,63,43.8,21473,3,36,特異点
64,64,41.3,21840,4,35,
65,65,38.9,22216,3,35,
66,66,36.5,22621,3,48,特異点
67,67,34.3,23020,3,79,
68,68,32.3,23407,3,107,特異点
69,69,30.4,23800,3,114,
70,70,28.5,24220,4,137,
71,71,26.7,24644,5,145,特異点
72,72,25.0,25073,6,147,
73,73,23.5,25476,8,141,
74,74,21.9,25936,8,136,
75,75,20.4,26399,9,131,
76,76,19.0,26866,9,124,
77,77,17.8,27296,9,121,
78,78,16.6,27761,9,113,
79,79,15.4,28267,8,109,
80,80,14.3,28767,5,104,特異点
81,81,13.3,29260,4,67,特異点
82,82,12.3,29800,3,54,
83,83,11.5,30266,3,35,特異点
84,84,10.7,30763,4,44,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1008.6,7,6.1,20,特異点
2,2,990.4,165,9,26,
3,3,954.1,488,11,21,特異点
4,4,917.7,821,6,355,
5,5,881.6,1165,5,332,特異点
6,6,846.9,1509,6,324,
7,7,814.3,1844,7,302,
8,8,783.1,2174,5,290,
9,9,752.4,2510,6,282,特異点
10,10,723.2,2841,9,285,
11,11,695.6,3164,11,288,
12,12,669.0,3487,12,275,
13,13,643.2,3810,14,271,
14,14,618.5,4129,15,265,
15,15,594.1,4455,16,266,
16,16,582.3,4616,17,266,
17,17,559.5,4936,19,267,特異点
18,18,537.6,5253,20,267,
19,19,516.1,5576,20,267,
20,20,495.0,5904,19,264,
21,21,474.2,6240,18,262,
22,22,453.4,6589,19,264,
23,23,433.5,6935,23,266,
24,24,413.8,7290,24,265,
25,25,395.2,7637,23,264,
26,26,377.3,7984,23,267,
27,27,360.1,8329,24,270,
28,28,343.2,8681,26,269,
29,29,326.7,9038,27,264,
30,30,310.6,9401,28,264,特異点
31,31,294.7,9775,29,266,
32,32,279.6,10144,31,267,
33,33,265.0,10518,34,271,
34,34,250.8,10895,35,276,
35,35,237.6,11259,36,280,
36,36,224.9,11629,38,282,極大風速面
37,37,213.1,11985,38,281,特異点
38,38,202.1,12332,36,278,
39,39,191.7,12675,36,275,
40,40,181.9,13013,34,273,
41,41,172.5,13348,34,271,
42,42,163.4,13689,34,269,
43,43,154.7,14032,33,268,
44,44,146.2,14374,33,267,
45,45,137.4,14750,32,267,
46,46,128.2,15163,31,268,
47,47,119.8,15559,29,270,
48,48,111.5,15974,27,272,
49,49,103.4,16406,24,272,特異点
50,50,95.6,16854,20,271,
51,51,88.6,17286,16,270,
52,52,82.3,17702,12,267,
53,53,76.6,18109,10,265,
54,54,71.5,18503,7,265,
55,55,67.1,18871,4,264,
56,56,63.1,19232,1,264,特異点
57,57,59.3,19604,1,83,特異点
58,58,55.7,19983,1,101,特異点
59,59,52.5,20345,1,143,特異点
60,60,49.6,20695,1,253,特異点
61,61,46.8,21055,1,228,
62,62,44.1,21426,1,215,特異点
63,63,41.5,21806,0,-,
64,64,39.2,22166,1,83,特異点
65,65,36.9,22550,2,76,
66,66,34.8,22923,4,82,
67,67,32.8,23305,5,94,
68,68,30.9,23691,6,92,
69,69,29.0,24107,7,86,特異点
70,70,27.3,24503,7,91,
71,71,25.6,24926,9,98,
72,72,24.0,25351,9,109,
73,73,22.5,25776,10,123,
74,74,21.1,26200,9,131,
75,75,19.7,26653,9,133,特異点
76,76,18.4,27104,9,127,
77,77,17.2,27552,8,125,
78,78,16.1,27991,9,115,
79,79,15.1,28421,10,108,特異点
80,80,14.1,28883,11,105,
81,81,13.1,29385,11,107,
82,82,12.2,29874,11,107,
83,83,11.4,30341,11,105,
84,84,10.6,30846,10,95,
85,85,9.9,31321,11,90,
86,86,9.2,31831,12,84,
87,87,8.5,32385,12,87,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1012.3,7,2.3,40,特異点
2,2,994.0,165,4,70,特異点
3,3,957.4,488,6,74,
4,4,920.9,822,4,88,特異点
5,5,884.9,1161,0,-,
6,6,849.9,1506,2,301,特異点
7,7,816.1,1850,7,301,
8,8,783.3,2197,7,281,
9,9,751.3,2546,10,276,特異点
10,10,719.8,2902,12,281,
11,11,689.4,3258,15,281,特異点
12,12,660.3,3611,12,282,
13,13,632.3,3962,11,291,
14,14,605.6,4311,8,290,特異点
15,15,579.7,4660,11,272,
16,16,567.0,4836,13,265,
17,17,542.5,5185,17,257,特異点
18,18,519.1,5530,21,262,
19,19,496.5,5879,25,268,特異点
20,20,474.8,6226,26,271,
21,21,454.0,6572,26,271,
22,22,433.8,6921,26,268,
23,23,414.7,7262,27,265,
24,24,396.1,7609,28,266,
25,25,377.6,7965,28,269,
26,26,359.5,8327,31,271,
27,27,341.3,8708,32,270,
28,28,323.5,9092,32,268,
29,29,306.2,9482,33,266,
30,30,289.5,9880,33,265,
31,31,273.7,10272,34,266,特異点
32,32,259.1,10649,39,265,
33,33,245.1,11023,41,266,
34,34,232.4,11382,42,270,
35,35,220.3,11737,43,275,
36,36,209.0,12082,46,278,
37,37,198.1,12432,47,276,極大風速面
38,38,187.9,12770,45,271,
39,39,178.1,13110,40,266,
40,40,168.1,13478,37,260,
41,41,158.8,13830,38,256,特異点
42,42,149.6,14197,37,256,
43,43,140.4,14580,38,256,
44,44,131.8,14956,36,258,
45,45,123.8,15326,35,262,
46,46,116.0,15707,32,265,
47,47,108.6,16089,30,269,
48,48,101.8,16465,25,272,特異点
49,49,95.3,16847,20,274,
50,50,89.1,17235,17,275,
51,51,83.4,17613,13,276,
52,52,78.2,17982,10,277,
53,53,73.5,18338,9,276,
54,54,69.0,18705,7,276,
55,55,64.8,19072,5,273,
56,56,61.0,19432,3,267,特異点
57,57,57.4,19799,2,248,特異点
58,58,54.2,20148,1,204,特異点
59,59,51.1,20511,1,96,特異点
60,60,48.2,20873,2,70,特異点
61,61,45.5,21234,2,63,
62,62,42.9,21606,3,57,
63,63,40.5,21975,4,58,
64,64,38.1,22366,3,48,
65,65,36.0,22730,4,34,特異点
66,66,33.9,23115,5,41,
67,67,31.9,23506,4,56,
68,68,30.0,23900,7,78,
69,69,28.3,24282,11,95,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1015.0,7,3.0,80,特異点
2,2,996.3,168,4,95,
3,3,959.8,492,6,102,
4,4,923.9,819,5,111,特異点
5,5,888.9,1149,3,17,特異点
6,6,855.2,1477,5,356,
7,7,822.5,1805,7,336,
8,8,791.0,2133,7,317,
9,9,760.4,2462,8,303,特異点
10,10,730.7,2793,8,301,
11,11,701.5,3130,8,302,
12,12,672.3,3479,10,289,特異点
13,13,644.0,3829,8,298,
14,14,617.1,4176,7,326,
15,15,591.2,4524,6,344,特異点
16,16,578.7,4696,5,333,特異点
17,17,554.4,5040,3,342,
18,18,530.7,5387,4,5,特異点
19,19,507.4,5741,6,343,
20,20,484.7,6098,7,323,特異点
21,21,462.4,6464,9,312,
22,22,441.2,6823,10,299,
23,23,420.5,7189,9,290,
24,24,400.8,7549,9,290,特異点
25,25,381.5,7916,11,286,
26,26,363.0,8281,16,285,
27,27,344.7,8657,21,277,
28,28,327.2,9032,24,273,特異点
29,29,309.5,9431,26,278,
30,30,292.8,9819,27,284,
31,31,276.6,10216,29,285,
32,32,260.7,10625,29,281,
33,33,245.7,11015,30,276,
34,34,231.1,11418,32,276,
35,35,217.3,11823,31,279,
36,36,204.4,12225,29,284,
37,37,192.3,12621,30,289,特異点
38,38,180.7,13012,30,284,
39,39,170.4,13381,30,274,
40,40,160.4,13758,33,266,極大風速面
41,41,150.9,14135,33,265,特異点
42,42,141.6,14522,31,274,
43,43,133.5,14879,30,279,
44,44,125.5,15247,30,285,
45,45,117.7,15627,29,290,
46,46,110.1,16020,27,290,
47,47,102.7,16428,23,290,特異点
48,48,96.3,16804,20,285,
49,49,90.5,17161,18,283,
50,50,84.6,17546,16,286,特異点
51,51,78.8,17950,13,291,
52,52,73.9,18318,9,303,
53,53,69.5,18672,5,308,特異点
54,54,65.3,19035,5,294,
55,55,61.5,19389,4,298,
56,56,57.9,19752,4,284,特異点
57,57,54.5,20118,4,297,特異点
58,58,51.3,20488,3,337,
59,59,48.3,20861,3,16,特異点
60,60,45.4,21249,5,43,
61,61,42.7,21635,6,67,特異点
62,62,40.2,22016,6,70,
63,63,37.8,22405,6,78,
64,64,35.5,22802,7,76,
65,65,33.5,23174,9,76,
66,66,31.5,23572,12,83,
67,67,29.5,23998,14,94,
68,68,27.7,24408,14,98,
69,69,26.0,24822,13,102,
70,70,24.5,25211,13,105,特異点
71,71,22.9,25654,13,99,
72,72,21.5,26067,13,101,
73,73,20.1,26509,14,102,
74,74,18.8,26947,14,101,
75,75,17.6,27385,15,103,特異点
76,76,16.4,27853,16,98,
77,77,15.4,28277,15,94,
78,78,14.3,28779,14,90,
79,79,13.4,29221,15,82,特異点
80,80,12.5,29695,15,82,
81,81,11.6,30205,17,81,
82,82,10.8,30693,19,80,
83,83,10.1,31151,21,82,
84,84,9.3,31714,22,86,
85,85,8.7,32170,22,88,
86,86,8.1,32658,22,90,特異点
0,0,気圧(hPa),ジオポテンシャル高度(m),風速(m/s),風向(°),識別符
1,1,1012.9,7,4.3,150,特異点
2,2,993.8,173,7,152,
3,3,956.8,501,6,154,特異点
4,4,921.5,826,7,178,
5,5,887.4,1148,5,202,
6,6,853.6,1480,5,222,
7,7,820.3,1818,4,248,特異点
8,8,788.0,2158,5,255,
9,9,758.2,2483,7,250,
10,10,730.3,2798,9,256,特異点
11,11,702.8,3118,11,265,
12,12,675.6,3444,10,276,
13,13,648.9,3775,10,293,特異点
14,14,622.7,4110,10,289,
15,15,597.8,4439,11,287,
16,16,585.4,4607,11,286,
17,17,561.3,4943,10,279,
18,18,537.4,5290,9,280,
19,19,514.2,5639,11,285,
